customer_id,first_name,last_name,gender,dob,email,phone,city,state,advisor_id,risk_profile,annual_income,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
CUST00001,Wriddhish,Bhardwaj,Female,1964-07-04,chadavedika@example.org,+917525876051,Warangal,Sikkim,ADV0007,High,1419786,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.644644,2026-07-16 11:10:43.644644
CUST00002,Vaishnavi,Gandhi,Male,1965-11-29,ikakar@example.net,+918616197747,Bijapur,Madhya Pradesh,ADV0006,High,1326811,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645184,2026-07-16 11:10:43.645184
CUST00003,Kashvi,Sarma,Male,2002-09-19,pdara@example.org,+917985392498,Sonipat,Andhra Pradesh,ADV0013,Medium,2984353,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645289,2026-07-16 11:10:43.645289
CUST00004,Victor,Kannan,Male,1950-12-15,karnikekansh@example.org,+918940395823,Madurai,Mizoram,ADV0011,Low,1260697,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645371,2026-07-16 11:10:43.645371
CUST00005,Wazir,Mallick,Male,1989-05-04,kevinsolanki@example.org,+919457645390,Vellore,Gujarat,ADV0011,Medium,1422986,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645538,2026-07-16 11:10:43.645538
CUST00006,Girindra,Chatterjee,Male,1988-10-04,pallavi67@example.net,+916906164396,Navi Mumbai,Arunachal Pradesh,ADV0019,High,1619854,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645645,2026-07-16 11:10:43.645645
CUST00007,Neha,Nori,Male,1996-12-21,kotharirehaan@example.org,+918815087637,Kolhapur,Maharashtra,ADV0016,Medium,2996316,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645719,2026-07-16 11:10:43.645719
CUST00008,Qadim,Mallick,Female,1977-05-15,savantguneet@example.org,+916613628803,Tiruchirappalli,Tripura,ADV0009,Low,1334430,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645787,2026-07-16 11:10:43.645787
CUST00009,Warjas,Ganesan,Female,1974-02-09,zkala@example.org,+919208399878,Nadiad,Andhra Pradesh,ADV0019,Medium,2747514,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645849,2026-07-16 11:10:43.645849
CUST00010,Madhavi,Lanka,Female,2004-04-11,bmangal@example.net,+917554762903,Bhatpara,Gujarat,ADV0008,Low,2437108,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645908,2026-07-16 11:10:43.645908
CUST00011,Chaman,Kalla,Female,2006-09-22,murthydakshesh@example.org,+916390452952,Ambala,West Bengal,ADV0002,Low,941062,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.645971,2026-07-16 11:10:43.645971
CUST00012,Nakul,Bhandari,Male,2006-04-07,grewalekapad@example.net,+919401954956,Noida,Madhya Pradesh,ADV0014,High,566454,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646035,2026-07-16 11:10:43.646035
CUST00013,Jagdish,Koshy,Female,1984-02-12,bumboni@example.net,+917639042338,Bhilwara,Gujarat,ADV0020,Medium,2519266,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646096,2026-07-16 11:10:43.646096
CUST00014,Dipta,Khare,Female,1965-12-11,charitashankar@example.com,+918376087131,Bangalore,Manipur,ADV0001,High,780464,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646158,2026-07-16 11:10:43.646158
CUST00015,Harish,Borah,Female,1981-09-20,kevin51@example.org,+919301106403,Anantapuram,Goa,ADV0011,Low,1531028,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646217,2026-07-16 11:10:43.646217
CUST00016,Raksha,Mittal,Female,1986-01-06,mistryhemang@example.org,+916679282378,Bhiwandi,Bihar,ADV0015,Low,1404733,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646286,2026-07-16 11:10:43.646286
CUST00017,Nachiket,Magar,Male,1966-11-18,hemaljani@example.net,+918180476188,Dibrugarh,Meghalaya,ADV0004,High,1551768,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646354,2026-07-16 11:10:43.646354
CUST00018,Zayan,Behl,Male,1955-11-22,cmalhotra@example.org,+916656439677,Bikaner,Rajasthan,ADV0012,Low,2562319,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646415,2026-07-16 11:10:43.646415
CUST00019,Adweta,Edwin,Male,1993-07-12,handra@example.org,+918572447412,Bongaigaon,Arunachal Pradesh,ADV0011,Medium,381691,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646472,2026-07-16 11:10:43.646472
CUST00020,Kala,Divan,Male,1975-06-20,morarjanya@example.org,+919990448177,Bhagalpur,Sikkim,ADV0012,Medium,1304335,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646547,2026-07-16 11:10:43.646547
CUST00021,Zaid,Chauhan,Male,1971-01-19,pdubey@example.org,+917034535593,Haridwar,Andhra Pradesh,ADV0019,Low,659256,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646606,2026-07-16 11:10:43.646606
CUST00022,Praneel,Natarajan,Female,1995-12-01,rkothari@example.org,+919504793184,Eluru,West Bengal,ADV0003,High,827477,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646662,2026-07-16 11:10:43.646662
CUST00023,Balvan,Singhal,Male,1963-06-10,tpalla@example.org,+918833608204,Nagpur,Sikkim,ADV0016,High,992592,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646718,2026-07-16 11:10:43.646718
CUST00024,Reyansh,Rastogi,Female,1969-07-30,mallickindali@example.net,+918266341635,Jorhat,Karnataka,ADV0020,Medium,1188346,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646778,2026-07-16 11:10:43.646778
CUST00025,Ayaan,D’Alia,Male,2001-05-29,pranav94@example.org,+919062092518,Kavali,Maharashtra,ADV0010,Medium,1866239,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646839,2026-07-16 11:10:43.646839
CUST00026,Hemani,Murthy,Female,1975-11-07,rajanranveer@example.com,+919863813067,Junagadh,Andhra Pradesh,ADV0017,Medium,807528,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646900,2026-07-16 11:10:43.646900
CUST00027,Zinal,Yohannan,Male,1990-05-18,janujasankar@example.org,+916965067727,Satara,Sikkim,ADV0003,Medium,388224,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.646964,2026-07-16 11:10:43.646964
CUST00028,Jeet,Mital,Male,1979-12-14,znarain@example.net,+918527331058,Begusarai,Chhattisgarh,ADV0008,Low,597766,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647022,2026-07-16 11:10:43.647022
CUST00029,Rehaan,Salvi,Male,1989-02-07,nghosh@example.net,+916983297492,Machilipatnam,Nagaland,ADV0003,Low,1685917,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647080,2026-07-16 11:10:43.647080
CUST00030,Aadi,Modi,Male,1967-03-07,dnagy@example.com,+918208283728,Kakinada,Mizoram,ADV0008,Medium,2335975,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647135,2026-07-16 11:10:43.647135
CUST00031,Urvashi,Gara,Male,1988-10-01,yutika95@example.org,+918315992115,Tirupati,Haryana,ADV0005,High,2695128,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647192,2026-07-16 11:10:43.647192
CUST00032,Rushil,Din,Female,1951-12-15,vaishnavibora@example.com,+917043665192,Ramgarh,Gujarat,ADV0016,Medium,1098637,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647261,2026-07-16 11:10:43.647261
CUST00033,Leena,Talwar,Male,1973-09-19,abdulchhabra@example.com,+916416314667,Belgaum,Uttar Pradesh,ADV0014,Medium,2076617,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647333,2026-07-16 11:10:43.647333
CUST00034,Zarna,Shetty,Female,1953-06-13,jairajshan@example.org,+918005855667,Bettiah,Nagaland,ADV0002,High,712794,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647392,2026-07-16 11:10:43.647392
CUST00035,Edhitha,Savant,Male,1986-01-27,ksehgal@example.net,+917729245242,Hospet,Himachal Pradesh,ADV0011,Low,1342940,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647449,2026-07-16 11:10:43.647449
CUST00036,Yug,Malhotra,Male,1994-12-15,rkhare@example.com,+916816941039,Baranagar,Haryana,ADV0018,Medium,887967,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647514,2026-07-16 11:10:43.647514
CUST00037,Anita,Nayak,Female,1969-01-30,devimatthew@example.org,+916788075126,Jamnagar,Tamil Nadu,ADV0009,Medium,1347764,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647575,2026-07-16 11:10:43.647575
CUST00038,Tanish,Bhatt,Male,1974-08-07,unnati60@example.org,+917903232052,Pali,Tripura,ADV0018,Low,512182,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647634,2026-07-16 11:10:43.647634
CUST00039,Anmol,Rai,Male,1978-03-15,chanchal66@example.net,+916400560567,Morbi,Haryana,ADV0008,Low,2004624,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647691,2026-07-16 11:10:43.647691
CUST00040,Anjali,Sarin,Female,1978-09-15,qnayar@example.net,+918067418686,Dehradun,Uttarakhand,ADV0007,Medium,545934,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647746,2026-07-16 11:10:43.647746
CUST00041,Unni,Datta,Male,2007-06-03,rameshavi@example.org,+917627677155,Bhavnagar,West Bengal,ADV0001,Medium,1412342,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647807,2026-07-16 11:10:43.647807
CUST00042,Triya,Gopal,Female,1953-06-15,nnarang@example.com,+917225136114,Naihati,Tripura,ADV0014,High,2631061,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.647863,2026-07-16 11:10:43.647863
